userID,itemID,productRating,timestamp
233,50,3,931692561
81,37,4.3,918655731
857,7,2.6,968507529
637,47,1.7,897607060
858,12,7.8,837649272
30,28,0.6,494197788
19,19,8.2,533639395
140,50,5.1,329385555
238,21,3.3,143392607
901,3,7.8,432167018
105,17,5.6,225075128
885,35,4.5,127504968
991,21,6.3,701358360
556,4,8.5,274950902
736,29,0.9,501984331
987,13,3.3,665488912
126,33,3.1,663476288
878,25,3.1,252661561
116,10,0.2,794829027
310,23,4.9,466447785
258,44,7.9,577495424
851,26,1.4,491930971
658,25,9.4,300755154
677,1,0.5,390123254
35,39,3.1,870943645
688,4,7.6,900051673
803,1,9.7,584155714
924,20,2.3,607026889
818,13,5.8,912135251
424,37,0.6,990017951
455,11,1.9,500664157
395,5,8,842098597
272,15,0.8,181368693
384,36,1.9,921155514
601,33,3,269613200
792,46,6.9,377126068
151,14,4,705737288
30,17,4.3,949511645
127,2,0.1,117457642
279,12,8.1,236528820
163,22,0.9,216336925
660,44,8.1,471587197
463,9,6.4,206014290
844,49,5.8,433086278
542,27,3.8,159905425
945,21,7.2,379829774
641,22,7.9,643695168
771,7,5.2,812499100
992,5,5.9,590577716
868,20,5.1,188561743
245,37,0.7,722174912
785,15,1.8,585831273
382,6,8.4,484502669
893,44,5.9,932841051
351,34,7.7,119017990
523,3,4.4,924139357
937,11,8.6,550189438
294,7,9.2,120122309
82,41,4.9,525520254
569,49,6.6,841064841
641,22,7,699836024
281,36,5.1,474825894
583,49,3.1,701418020
364,20,5.6,176721595
585,10,9.4,251357405
316,33,8.7,351568008
842,44,7.5,600666053
354,22,9.9,902667648
539,13,0.7,756491170
308,4,9.2,457538814
365,36,5.1,660961042
168,8,4,608311931
27,24,4.7,480106144
188,16,9.5,486628925
497,43,3.4,807661249
403,8,3.5,923410645
114,1,2.2,881607465
464,29,3.2,789099353
155,13,2.1,468776250
246,14,5.3,799932233
21,45,6.7,352064445
780,31,5.3,459093949
814,34,9.2,700680614
263,3,3.5,545463154
418,36,1.4,462282457
828,26,2.9,875155580
240,13,0.3,116703163
870,16,4.3,757343271
797,2,6.6,606578140
34,21,6.3,979041567
473,11,1.9,455161349
283,20,4.4,629442626
224,2,4.8,162159776
959,7,4.7,844057205
701,18,6.6,934087636
73,29,1.3,979025834
327,30,8.4,708962800
122,42,0.6,634860093
713,20,0.6,250231437
288,12,7.3,284360106
950,14,2.5,790814767
353,12,7,169804318
235,11,5.3,461272748
445,15,1.8,430933345
800,46,6.5,370747017
385,2,4.1,197663710
447,4,4.8,633439076
460,12,2.1,679185473
84,1,2.6,441538413
24,9,8.1,575175363
708,43,7.7,599334824
616,27,5.8,943008189
322,48,5.3,772000423
158,4,2.9,616659285
168,21,0.4,575961997
5,45,8.5,390657397
868,40,4,108110301
331,40,5.1,399475246
536,14,3.4,350118161
349,12,3.5,172962338
498,28,4.4,135159740
360,34,8.8,290565619
419,11,7.2,241254922
989,37,2.6,247562304
853,28,2,337575139
700,19,5.7,449385929
75,23,1.6,812455832
278,21,7.3,722905209
47,16,9.6,901697766
889,9,6,304191202
315,45,7,513290557
696,15,4,793039115
173,7,1.9,345036676
917,3,1.4,752585011
252,23,7.7,665398584
116,11,9.8,247023876
526,36,8,970501604
387,8,9.4,954582226
119,19,0.4,561634967
249,28,8.5,116092958
864,49,3.8,344443056
960,11,2.9,309918443
463,41,2.2,368072902
166,40,7,964781374
400,13,7.3,304270189
174,48,3.3,234563608
585,11,4.4,305402958
161,35,5.3,242698381
691,42,3.9,314731090
489,37,2.4,467353813
146,11,4,304710851
514,47,7.1,322970200
662,45,6.6,491494718
664,38,0.8,675377306
615,30,5.8,712733073
81,29,4.8,909928253
420,2,5,552794821
902,24,9.1,501181782
943,22,0.1,898919998
956,3,6.8,788711652
369,36,3.5,283624811
5,49,0.6,311907670
12,16,6.6,431082830
272,15,7.2,833484522
726,45,3.7,875470524
383,3,0.9,160141440
302,50,9.4,551866116
927,5,1.3,360956359
101,34,5.2,839029660
89,31,3.8,429380242
578,19,6.4,215559478
499,6,3.2,677755379
777,27,3.1,556770703
887,48,5.8,647345928
384,8,3.2,433793811
897,45,7.1,680005445
441,29,2.2,273536506
665,8,8.2,511744604
524,37,4.9,541860595
51,1,3.8,609061884
771,30,7.4,238365549
177,32,8.1,608583406
138,3,3.3,706962904
791,47,1.6,367445641
457,23,4.8,572239059
438,39,5.5,787869819
636,7,3.8,827975380
674,5,9,589767727
645,32,0.9,945136954
816,21,9.7,330764335
261,11,5.6,614719147
666,47,7.5,340986886
502,13,9.9,627931357
374,16,0.7,694675304
506,40,6.9,630168874
516,28,8.9,157331723
926,41,8.3,755799992
433,17,2.7,873221770
638,18,4.4,422629921
99,38,5.6,161462207
415,12,8.3,720098295
626,2,7.2,176292509
308,4,4.5,275631914
143,32,9.3,972290680
539,28,8.9,329103792
828,7,7.6,752933341
481,44,4.7,228546911
799,5,2.4,339081448
863,9,7.3,671164551
890,39,8.7,673583204
988,17,0.8,408412466
277,8,5.4,941716349
977,10,4.1,295758433
887,11,6.4,633070769
200,22,4.9,103010747
708,48,2.4,905629542
192,48,8.3,140908595
192,30,7.2,196118875
381,34,1.2,383644170
848,41,4.9,985041821
510,16,6.4,115638934
160,24,8.1,376215548
699,42,2.9,797745341
511,6,8.3,338585447
63,34,2.4,994683894
305,5,4.5,473679873
500,24,9.4,584801656
51,38,7.8,881080468
438,26,9.1,824965043
830,37,7.5,655598375
270,16,6.5,600395669
979,49,8.5,623890796
778,22,8.7,810356102
862,8,2.7,837040284
468,5,8.8,663443156
989,40,2.5,677751350
535,36,0.5,919364825
417,50,3,850813804
707,1,0.4,505318232
668,27,7.7,506119840
439,7,5.5,775568716
632,38,1.5,878366896
845,11,0.5,143327604
102,4,7.1,134531436
283,33,3.2,213343518
146,4,3.9,995533650
664,40,0.7,458840970
967,20,0.3,126465875
153,38,8.7,417888653
252,34,7.5,696869751
350,19,7.6,337996591
619,36,7.4,459896436
578,37,5.1,231600273
19,17,1.9,984514174
665,7,6,632948561
289,10,0.2,812689353
381,24,5.7,117786343
640,48,5.5,611520407
106,34,2.8,654591035
566,7,4.3,692483357
188,36,2.2,793569170
597,3,5.1,194784090
978,16,0.2,192672924
98,49,9.2,454782739
123,17,5,934500764
492,17,7.8,983519369
875,8,3.7,460584426
209,43,2.9,221321718
474,20,7.1,351936589
147,32,1.1,304897533
633,27,1.2,710121772
145,43,8.8,434999618
527,40,3.5,899626512
220,5,5.6,592007485
393,4,6.6,755492044
189,34,0.8,519312140
918,10,7.6,201775056
969,10,4.2,225883962
317,32,4.6,723274931
284,47,8.6,478465332
983,40,8.7,883942316
524,30,8.2,283818754
551,16,5.6,775820312
170,9,0.3,513191265
248,41,7.7,127634130
210,27,3.5,266585574
908,30,3.7,149136287
138,11,4.1,542676514
355,12,5.4,498044440
392,30,4.2,772298149
369,39,6.6,793368165
488,25,2.7,394301038
709,41,6.2,220376077
389,48,6.2,406371128
524,1,7.8,612206971
788,31,2.3,221537496
712,47,2.6,610789290
208,1,7.4,639475422
98,37,7.3,722492115
721,43,4.7,202167276
719,30,5.6,615179188
415,31,0.2,940520589
870,19,7.9,267061548
357,38,8.6,948885070
590,27,1.6,751191519
4,39,4.5,306184707
405,32,1.9,405465639
730,48,3.5,755382351
96,20,9.2,195055853
659,19,0.6,190124590
657,25,0.5,964043879
681,42,9.5,249817386
890,10,6.4,500148278
411,42,9.4,902841299
150,23,3.6,992487404
392,41,5.8,569808618
694,39,8,974253744
574,44,2.6,669305522
624,39,6.5,731018136
515,1,6.5,873901146
57,39,6.5,167853029
342,21,6.5,499328909
139,1,8.6,241984459
196,15,6.7,127153936
845,28,6.2,703381123
777,42,2.4,378925048
344,25,7.5,691364159
521,36,3.4,763640073
111,50,4.3,527955231
215,46,5.5,183039326
333,42,8.4,236219394
35,45,1.4,629550889
215,48,3.7,588819745
72,23,0.7,868513577
680,28,3.1,351461670
500,10,5.9,247747916
545,4,2.8,969503147
313,41,5.6,646941932
493,9,6.3,125835435
655,43,8.9,192573961
925,36,6.4,263129476
681,40,4.6,673886411
874,13,7.1,381189752
926,48,8.6,959472869
785,17,3.2,435508612
146,41,8.3,916296143
519,6,6.9,940668300
456,9,4.2,105572427
647,11,5.5,103956891
187,39,9.4,984727245
185,50,8.7,476184401
974,17,2.4,498099936
60,19,3,974052511
589,21,2,607095550
658,21,4.2,212037674
783,20,5.4,248927534
921,4,1.1,262424170
61,40,6.2,945438760
673,9,5.4,479361950
827,6,9.1,685159380
80,45,9.6,559773595
443,38,4.1,948300809
102,31,5,384539625
528,28,3,198799553
532,29,1,757445839
606,30,7.4,422229129
280,34,1.1,382681098
103,8,2.8,684213627
158,25,2.6,617810531
535,11,9.6,499987064
147,34,3.9,818650296
806,47,3.1,303372091
368,32,8,632468490
218,39,3.6,813565605
573,10,1.7,749055628
704,27,4.4,817786695
935,19,9.7,577061085
984,50,3.8,792982586
838,15,2.8,152787656
281,9,9.8,620357258
871,29,5.7,377664664
97,30,8.8,714210128
882,2,8.8,628748947
691,47,2.8,168654342
145,22,7.5,746002932
877,3,3,509877109
896,22,0.3,165048647
929,14,8.1,570387299
477,7,2.7,433296595
279,29,8.9,771413047
897,8,5.4,960498207
574,45,2.1,287862065
544,27,3.3,519583559
367,45,3.4,417565119
270,9,2,929502422
552,37,4.3,201431455
427,6,5.9,341638435
960,10,6.6,558879308
343,20,5.7,418949642
39,32,5.5,494028259
275,24,3.3,664179088
698,12,9.9,461128442
736,22,4.8,300045624
88,48,8.8,709926126
517,40,3.8,957417787
660,39,2.5,531423018
460,1,0.1,260945294
980,3,5.3,643617838
136,41,9,443088457
164,15,0.5,264689306
998,5,5.8,109944149
600,21,0.6,131311199
606,38,8.8,882474891
454,10,1.5,479044232
131,14,7.4,801466135
932,33,9.8,199407732
280,50,8.9,284345558
767,32,1.8,854658039
651,50,3.7,698214212
903,23,9.5,747139409
441,20,6.1,881196493
215,47,3.3,185420054
800,40,4.1,262810917
562,16,5.7,950427075
65,10,6.1,526828354
192,41,1.9,999453917
63,28,1,695583735
57,17,2.5,141939744
104,28,2.1,830106239
274,5,1.5,127735394
618,40,0.8,757309117
318,48,7.7,245483581
905,8,4.4,867341402
558,47,1,632313545
816,24,7.3,771652925
903,31,7.1,940971939
326,4,6.8,663177905
98,29,6.1,458160933
951,38,9.1,532743489
879,33,4.8,673374682
103,46,8.7,450736782
347,5,1.5,256286616
297,38,8.1,924878253
429,12,4.3,846151264
682,12,0.6,446388005
739,22,7.4,584566736
394,22,7,918911464
940,10,1.8,886509408
239,24,1.6,677482750
769,50,6.1,321984454
980,38,0.3,538301704
614,32,1.1,877694113
937,20,6.8,261441632
60,12,0.4,368235775
179,38,5.3,320626871
423,13,6.1,323359562
760,18,6.8,886122222
75,24,7.2,806507112
266,18,5.5,171088288
157,40,2.4,552214293
876,10,2.8,170522060
421,34,5.2,436447283
930,45,7.2,236750172
989,50,7.1,434104744
279,28,5.5,755858338
293,1,4.1,719540783
559,50,8.5,904985830
97,45,1.3,919244400
89,27,2,986339004
471,40,3.5,846571022
138,48,4.7,503721450
817,20,6.8,576898221
189,9,5.8,451767050
7,5,1.1,400083183
620,4,5.8,527558669
853,50,4.9,394917012
29,17,3.6,611784030
10,19,2.5,393352746
714,7,6.2,714070213
828,44,1.7,284693059
917,13,9.7,878173446
800,10,7.8,926213489
548,24,2.5,632118523
281,30,3,336556277
600,23,0.9,746803966
78,7,3.8,943140420
877,28,3.6,424901646
382,27,1.4,202195801
774,2,7.8,979006329
915,4,7.8,716197490
39,21,5.7,762503977
938,4,9.6,296062206
587,50,8.1,159228396
419,48,9.1,320861465
680,13,0.4,612092250
185,35,5.8,147340660
450,31,3.7,319590285
472,38,3.1,263349480
294,49,8.6,167446735
88,11,2.9,903700305
785,36,1,749517525
457,16,8.7,185578177
727,26,7.6,843999444
897,40,7.7,567171022
220,49,8.7,120034631
872,18,8.1,451136577
215,41,5.6,304479342
644,6,4.6,732290342
239,40,9.1,297437348
441,8,1.4,347796319
504,37,9.5,458913643
537,25,2.3,781017339
844,17,4.2,377750803
927,48,1.8,180413907
723,20,7.5,475956640
940,24,7,961385056
877,42,7.7,996432988
599,25,1.6,348094680
548,41,9.6,608798154
645,42,3.6,686097674
117,1,8.7,665510171
213,10,8.8,328646106
214,23,5.5,622523723
274,43,4.3,730634538
329,9,0.3,468234463
216,8,9,522024920
880,14,8.6,983439437
770,31,2.5,433727261
829,30,7.9,933634281
430,11,5.1,100731759
722,31,0.7,352289667
227,27,7,825128083
246,10,2.9,575515156
515,35,3,736067985
5,5,1.4,423651852
4,44,6.7,437176916
450,28,9.1,551825822
740,20,2.2,189299049
53,41,4.3,195943777
532,44,8.7,450865310
114,33,2.8,480140201
836,8,4.5,301648031
826,46,1.9,238374336
189,38,6.1,431769881
100,41,8.3,420370268
791,45,8,642833016
444,13,4.8,845779529
547,8,2.3,566643964
721,1,6.3,940877602
724,8,7.5,769861311
144,44,3.9,547039610
677,18,6.3,718745763
39,31,3.2,336271807
561,34,6.2,673190060
719,38,9,450855399
627,2,0.9,224674900
430,5,9.2,504061544
595,15,2.5,826800854
889,38,7.2,445452253
614,1,4.6,631258654
224,5,6.2,724861608
109,35,1,621215805
158,24,4.9,375308525
